Product Names,Product Price,Percentage Off,Product Link,Product Type,Special Product,Product Rating,Customer Rated,Sizes
EyeBogler,₹239,81% off,https://www.flipkart.com/eyebogler-striped-men-polo-neck-blue-t-shirt/p/itm186f6204480bb?pid=TSHGB2RY9C8Y2GKH&lid=LSTTSHGB2RY9C8Y2GKHM7WIC4&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_11&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=en_pJmcus6RcPCrbTHey04OaX3UxN7gg6iGSMj_O6MWzkF9L0YQRQWMhHIM2s-hMp3lXnZj4TnT8Jcqnzmt7rklIw%3D%3D&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
TRIPR,₹259,87% off,https://www.flipkart.com/tripr-printed-typography-men-round-neck-black-t-shirt/p/itm89cec78774279?pid=TSHGNWHEQKTYVZ2X&lid=LSTTSHGNWHEQKTYVZ2X6SG2VG&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_12&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=en_pJmcus6RcPCrbTHey04OaX3UxN7gg6iGSMj_O6MWzkF24iMPmM0cym-LsH-9Laz-UnCforkQ8g_jU1EQlWuGlQ%3D%3D&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
VeBNoR,₹279,79% off,https://www.flipkart.com/vebnor-checkered-men-round-neck-blue-t-shirt/p/itma710e2db5402e?pid=TSHGHXV9AUUFUHZV&lid=LSTTSHGHXV9AUUFUHZV1U3CZJ&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_13&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHGHXV9AUUFUHZV.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
MBFMart,₹249,64% off,https://www.flipkart.com/mbfmart-printed-men-round-neck-white-t-shirt/p/itmba36135112191?pid=TSHGRZGKBBPEGBFT&lid=LSTTSHGRZGKBBPEGBFTNCUO9W&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_14&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHGRZGKBBPEGBFT.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
Smartees,₹249,83% off,https://www.flipkart.com/smartees-printed-typography-men-round-neck-black-t-shirt/p/itm32b3d040b7849?pid=TSHGKDZZVWUEUGY7&lid=LSTTSHGKDZZVWUEUGY74D3TYI&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_15&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHGKDZZVWUEUGY7.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
London Hills,₹189,85% off,https://www.flipkart.com/london-hills-solid-men-round-neck-black-t-shirt/p/itmf5hmhfzgbwxtg?pid=TSHF5HGFPVUGP8N7&lid=LSTTSHF5HGFPVUGP8N7TNMPFX&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_16&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHF5HGFPVUGP8N7.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
METRONAUT By Flipkart,₹319,84% off,https://www.flipkart.com/metronaut-solid-men-polo-neck-white-t-shirt/p/itm788d02ab6e071?pid=TSHGMJ8ZV2XBPRTV&lid=LSTTSHGMJ8ZV2XBPRTVVYBG8B&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_17&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=en_pJmcus6RcPCrbTHey04OaX3UxN7gg6iGSMj_O6MWzkGcMTwHJDnXSVY-D0yfdG5KbJnoWV34qaH4JFCy0ldpCg%3D%3D&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
METRONAUT By Flipkart,₹319,84% off,https://www.flipkart.com/metronaut-solid-men-polo-neck-dark-blue-t-shirt/p/itm1aa5d06183369?pid=TSHGMJ8Z7AY3HXHZ&lid=LSTTSHGMJ8Z7AY3HXHZLL4NKE&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_18&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=en_pJmcus6RcPCrbTHey04OaX3UxN7gg6iGSMj_O6MWzkGs0bEfVA7_PWPgbrUqK6UUIj4VBktHiQvimGTpUIggjg%3D%3D&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
MBFMart,₹249,64% off,https://www.flipkart.com/mbfmart-printed-men-round-neck-white-t-shirt/p/itmba36135112191?pid=TSHGRZGKY6MMH34F&lid=LSTTSHGRZGKY6MMH34FEUD4DM&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&srno=b_1_19&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHGRZGKY6MMH34F.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
Smartees,₹189,88% off,https://www.flipkart.com/smartees-typography-men-round-neck-black-t-shirt/p/itm8678d18e2bc14?pid=TSHGNQSZ2QGVCHPK&lid=LSTTSHGNQSZ2QGVCHPKKFFV3P&marketplace=FLIPKART&store=clo%2Fash%2Fank%2Fedy&spotlightTagId=BestsellerId_clo%2Fash%2Fank%2Fedy&srno=b_1_20&otracker=hp_reco_End%2Bof%2BSeason%2BBestsellers_3_8.dealCard.OMU_cid%3AS_F_N_clo_ash_ank_edy__d_50-100__NONE_ALL%3Bnid%3Aclo_ash_ank_edy_%3Bet%3AS%3Beid%3Aclo_ash_ank_edy_%3Bmp%3AF%3Bct%3Ad%3Bat%3ADEFAULT%3B_6&otracker1=hp_reco_WHITELISTED_personalisedRecommendation%2FC5_End%2Bof%2BSeason%2BBestsellers_DESKTOP_HORIZONTAL_dealCard_cc_3_NA_view-all_6&fm=organic&iid=bcec7f0b-a82c-4542-a126-c0da73ffd22e.TSHGNQSZ2QGVCHPK.SEARCH&ppt=None&ppn=None&ssid=ud8lgu9rts0000001690939393791,,,,,
